4.70953020131 10080
3.25809653802 10081
2.30258509299 10082
2.99573227355 10083
2.56494935746 10084
3.58351893846 10085
4.24849524205 10086
4.09434456222 10087
2.99573227355 10088
4.83628190695 10089
5.03043792139 10090
4.78749174278 10091
4.51085950652 10092
4.7184988713 10093
4.88280192259 10094
5.46806014114 10095
5.19295685089 10096
4.36944785247 10097
4.47733681448 10098
4.38202663467 10099
3.68887945411 10100
2.30258509299 10101
4.72738781871 10102
3.68887945411 10103
2.99573227355 10104
4.60517018599 10105
4.21950770518 10106
4.31748811354 10107
4.48863636973 10108
3.93182563272 10109
