in 	 tar 
456 	 23 
457 	 11 
458 	 14 
459 	 12 
460 	 13 
461 	 12 
462 	 12 
463 	 13 
464 	 19 
465 	 9 
466 	 10 
467 	 8 
468 	 10 
469 	 9 
470 	 6 
471 	 7 
472 	 24 
473 	 22 
474 	 21 
475 	 22 
476 	 14 
477 	 14 
478 	 5 
479 	 10 
480 	 23 
481 	 11 
482 	 21 
483 	 7 
484 	 6 
485 	 6 
486 	 11 
487 	 10 
488 	 7 
489 	 22 
490 	 6 
491 	 5 
492 	 5 
493 	 7 
494 	 6 
495 	 7 
496 	 6 
497 	 5 
498 	 23 
499 	 11 
500 	 8 
501 	 8 
502 	 10 
503 	 12 
504 	 11 
505 	 25 
506 	 26 
507 	 9 
508 	 8 
509 	 6 
510 	 7 
511 	 9 
512 	 8 
513 	 9 
514 	 20 
515 	 12 
516 	 11 
517 	 15 
518 	 14 
519 	 16 
520 	 13 
521 	 29 
522 	 13 
523 	 13 
524 	 16 
525 	 11 
526 	 13 
527 	 14 
528 	 8 
529 	 10 
530 	 12 
531 	 23 
532 	 14 
533 	 10 
534 	 8 
535 	 7 
536 	 11 
537 	 38 
538 	 30 
539 	 9 
540 	 14 
541 	 5 
542 	 9 
543 	 11 
544 	 10 
545 	 6 
546 	 6 
547 	 6 
548 	 4 
549 	 7 
550 	 2 
551 	 4 
552 	 5 
553 	 10 
554 	 25 
555 	 11 
556 	 25 
557 	 10 
558 	 9 
559 	 11 
560 	 9 
561 	 10 
562 	 9 
563 	 12 
564 	 11 
565 	 10 
566 	 6 
567 	 10 
568 	 7 
569 	 24 
570 	 8 
571 	 10 
572 	 26 
573 	 11 
574 	 13 
575 	 14 
576 	 13 
577 	 12 
578 	 16 
579 	 13 
580 	 11 
581 	 13 
582 	 4 
583 	 2 
584 	 3 
585 	 12 
586 	 8 
587 	 6 
588 	 20 
589 	 6 
590 	 7 
591 	 5 
592 	 5 
593 	 9 
594 	 5 
595 	 5 
596 	 9 
597 	 10 
598 	 9 
599 	 8 
600 	 21 
601 	 9 
602 	 9 
603 	 9 
604 	 8 
605 	 12 
606 	 9 
607 	 10 
608 	 12 
609 	 23 
610 	 10 
611 	 18 
612 	 9 
613 	 10 
614 	 12 
615 	 8 
616 	 12 
617 	 9 
618 	 15 
619 	 8 
620 	 8 
621 	 21 
622 	 9 
623 	 11 
624 	 13 
625 	 21 
626 	 12 
627 	 10 
628 	 13 
629 	 12 
630 	 11 
631 	 11 
632 	 11 
633 	 13 
634 	 12 
635 	 9 
636 	 20 
637 	 14 
638 	 11 
639 	 18 
640 	 11 
641 	 21 
642 	 9 
643 	 18 
644 	 11 
645 	 16 
646 	 16 
647 	 10 
648 	 14 
649 	 11 
650 	 13 
651 	 11 
652 	 6 
