-449.39,-445.39,-447.39
-445.39,-441.39,-443.39
-441.39,-437.39,-439.39
-437.39,-433.39,-435.39
-433.39,-429.39,-431.39
-429.39,-425.39,-427.39
-425.39,-421.39,-423.39
-421.39,-417.39,-419.39
-417.39,-413.39,-415.39
-413.39,-409.39,-411.39
-409.39,-405.39,-407.39
-405.39,-401.39,-403.39
-401.39,-397.39,-399.39
-397.39,-393.39,-395.39
-393.39,-389.39,-391.39
-389.39,-385.39,-387.39
-385.39,-381.39,-383.39
-381.39,-377.39,-379.39
-377.39,-373.39,-375.39
-373.39,-369.39,-371.39
-369.39,-365.39,-367.39
-365.39,-361.39,-363.39
-361.39,-357.39,-359.39
-357.39,-353.39,-355.39
-353.39,-349.39,-351.39
-349.39,-345.39,-347.39
-345.39,-341.39,-343.39
-341.39,-337.39,-339.39
-337.39,-333.39,-335.39
-333.39,-329.39,-331.39
-329.39,-325.39,-327.39
-325.39,-321.39,-323.39
-321.39,-317.39,-319.39
-317.39,-313.39,-315.39
-313.39,-309.39,-311.39
-309.39,-305.39,-307.39
-305.39,-301.39,-303.39
-301.39,-297.39,-299.39
-297.39,-293.39,-295.39
-293.39,-289.39,-291.39
-289.39,-285.39,-287.39
-285.39,-281.39,-283.39
-281.39,-277.39,-279.39
-277.39,-273.39,-275.39
-273.39,-269.39,-271.39
-269.39,-265.39,-267.39
-265.39,-261.39,-263.39
-261.39,-257.39,-259.39
-257.39,-253.39,-255.39
-253.39,-249.39,-251.39
-249.39,-245.39,-247.39
-245.39,-241.39,-243.39
-241.39,-237.39,-239.39
-237.39,-233.39,-235.39
-233.39,-229.39,-231.39
-229.39,-225.39,-227.39
-225.39,-221.39,-223.39
-221.39,-217.39,-219.39
-217.39,-213.39,-215.39
-213.39,-209.39,-211.39
-209.39,-205.39,-207.39
-205.39,-201.39,-203.39
-201.39,-197.39,-199.39
-197.39,-193.39,-195.39
-193.39,-189.39,-191.39
-189.39,-185.39,-187.39
-185.39,-181.39,-183.39
-181.39,-177.39,-179.39
-177.39,-173.39,-175.39
-173.39,-169.39,-171.39
-169.39,-165.39,-167.39
-165.39,-161.39,-163.39
-161.39,-157.39,-159.39
-157.39,-153.39,-155.39
-153.39,-149.39,-151.39
-149.39,-145.39,-147.39
-145.39,-141.39,-143.39
-141.39,-137.39,-139.39
-137.39,-133.39,-135.39
-133.39,-129.39,-131.39
-129.39,-125.39,-127.39
-125.39,-121.39,-123.39
-121.39,-117.39,-119.39
-117.39,-113.39,-115.39
-113.39,-109.39,-111.39
-109.39,-105.39,-107.39
-105.39,-101.39,-103.39
-101.39,-97.386,-99.386
-97.386,-93.386,-95.386
-93.386,-89.386,-91.386
-89.386,-85.386,-87.386
-85.386,-81.386,-83.386
-81.386,-77.386,-79.386
-77.386,-73.386,-75.386
-73.386,-69.386,-71.386
-69.386,-65.386,-67.386
-65.386,-61.386,-63.386
-61.386,-57.386,-59.386
-57.386,-53.386,-55.386
-53.386,-49.386,-51.386
-49.386,-45.386,-47.386
-45.386,-41.386,-43.386
-41.386,-37.386,-39.386
-37.386,-33.386,-35.386
-33.386,-29.386,-31.386
-29.386,-25.386,-27.386
-25.386,-21.386,-23.386
-21.386,-17.386,-19.386
-17.386,-13.386,-15.386
-13.386,-9.3858,-11.386
-9.3858,-5.3858,-7.3858
-5.3858,-1.3858,-3.3858
-1.3858,2.6142,0.61417
2.6142,6.6142,4.6142
6.6142,10.614,8.6142
10.614,14.614,12.614
14.614,18.614,16.614
18.614,22.614,20.614
22.614,26.614,24.614
26.614,30.614,28.614
